2026/09/12 05:58:18.612, 13132 MiB, 16311 MiB, 80 %, 46, 123.94 W, 2782 MHz
2026/09/12 05:58:18.813, 13132 MiB, 16311 MiB, 97 %, 46, 124.97 W, 2775 MHz
2026/09/12 05:58:19.015, 13132 MiB, 16311 MiB, 80 %, 46, 123.97 W, 2775 MHz
2026/09/12 05:58:19.216, 13132 MiB, 16311 MiB, 92 %, 45, 124.54 W, 2775 MHz
2026/09/12 05:58:19.417, 13132 MiB, 16311 MiB, 84 %, 45, 124.35 W, 2775 MHz
2026/09/12 05:58:19.618, 13132 MiB, 16311 MiB, 84 %, 46, 125.40 W, 2775 MHz
2026/09/12 05:58:19.819, 13132 MiB, 16311 MiB, 93 %, 46, 125.64 W, 2782 MHz
2026/09/12 05:58:20.020, 13132 MiB, 16311 MiB, 81 %, 46, 125.14 W, 2782 MHz
2026/09/12 05:58:20.221, 13132 MiB, 16311 MiB, 95 %, 43, 125.11 W, 2775 MHz
2026/09/12 05:58:20.422, 13132 MiB, 16311 MiB, 82 %, 43, 125.10 W, 2775 MHz
2026/09/12 05:58:20.624, 13132 MiB, 16311 MiB, 97 %, 46, 126.09 W, 2775 MHz
2026/09/12 05:58:20.825, 13132 MiB, 16311 MiB, 81 %, 46, 125.12 W, 2775 MHz
2026/09/12 05:58:21.027, 13132 MiB, 16311 MiB, 96 %, 46, 126.02 W, 2775 MHz
2026/09/12 05:58:21.228, 13132 MiB, 16311 MiB, 80 %, 47, 126.41 W, 2782 MHz
2026/09/12 05:58:21.430, 13132 MiB, 16311 MiB, 87 %, 47, 125.69 W, 2782 MHz
2026/09/12 05:58:21.631, 13132 MiB, 16311 MiB, 92 %, 46, 126.55 W, 2782 MHz
2026/09/12 05:58:21.833, 13132 MiB, 16311 MiB, 80 %, 46, 126.14 W, 2775 MHz
2026/09/12 05:58:22.034, 13132 MiB, 16311 MiB, 94 %, 46, 124.97 W, 2775 MHz
2026/09/12 05:58:22.235, 13132 MiB, 16311 MiB, 82 %, 48, 125.10 W, 2782 MHz
2026/09/12 05:58:22.436, 13132 MiB, 16311 MiB, 97 %, 48, 127.56 W, 2782 MHz
2026/09/12 05:58:22.638, 13132 MiB, 16311 MiB, 82 %, 48, 125.18 W, 2775 MHz
2026/09/12 05:58:22.839, 13132 MiB, 16311 MiB, 97 %, 47, 128.82 W, 2775 MHz
2026/09/12 05:58:23.040, 13132 MiB, 16311 MiB, 81 %, 47, 125.81 W, 2775 MHz
2026/09/12 05:58:23.242, 13132 MiB, 16311 MiB, 86 %, 47, 125.90 W, 2775 MHz
2026/09/12 05:58:23.443, 13132 MiB, 16311 MiB, 91 %, 48, 128.77 W, 2775 MHz
2026/09/12 05:58:23.644, 13132 MiB, 16311 MiB, 84 %, 48, 125.82 W, 2782 MHz
2026/09/12 05:58:23.847, 13132 MiB, 16311 MiB, 94 %, 48, 126.55 W, 2782 MHz
2026/09/12 05:58:24.048, 13132 MiB, 16311 MiB, 82 %, 46, 126.97 W, 2782 MHz
2026/09/12 05:58:24.249, 13132 MiB, 16311 MiB, 96 %, 46, 126.59 W, 2775 MHz
2026/09/12 05:58:24.451, 13132 MiB, 16311 MiB, 80 %, 46, 126.63 W, 2775 MHz
2026/09/12 05:58:24.653, 13132 MiB, 16311 MiB, 96 %, 48, 129.18 W, 2782 MHz
2026/09/12 05:58:24.854, 13132 MiB, 16311 MiB, 97 %, 48, 130.00 W, 2782 MHz
2026/09/12 05:58:25.055, 13132 MiB, 16311 MiB, 83 %, 48, 130.12 W, 2782 MHz
2026/09/12 05:58:25.256, 13132 MiB, 16311 MiB, 95 %, 48, 130.23 W, 2775 MHz
2026/09/12 05:58:25.457, 13132 MiB, 16311 MiB, 97 %, 48, 133.64 W, 2775 MHz
2026/09/12 05:58:25.659, 13132 MiB, 16311 MiB, 89 %, 48, 130.88 W, 2782 MHz
2026/09/12 05:58:25.860, 13132 MiB, 16311 MiB, 89 %, 49, 130.11 W, 2782 MHz
2026/09/12 05:58:26.061, 13132 MiB, 16311 MiB, 97 %, 49, 133.53 W, 2782 MHz
2026/09/12 05:58:26.262, 13132 MiB, 16311 MiB, 97 %, 49, 128.18 W, 2782 MHz
2026/09/12 05:58:26.464, 13132 MiB, 16311 MiB, 62 %, 49, 126.60 W, 2782 MHz
2026/09/12 05:58:26.667, 13132 MiB, 16311 MiB, 96 %, 49, 127.72 W, 2775 MHz
2026/09/12 05:58:26.869, 13132 MiB, 16311 MiB, 97 %, 49, 128.98 W, 2775 MHz
2026/09/12 05:58:27.072, 13132 MiB, 16311 MiB, 84 %, 49, 126.31 W, 2775 MHz
2026/09/12 05:58:28.731, 13132 MiB, 16311 MiB, 93 %, 49, 126.24 W, 2775 MHz
2026/09/12 05:58:28.933, 13132 MiB, 16311 MiB, 97 %, 49, 133.35 W, 2775 MHz
2026/09/12 05:58:29.135, 13132 MiB, 16311 MiB, 96 %, 49, 130.09 W, 2782 MHz
2026/09/12 05:58:29.339, 13132 MiB, 16311 MiB, 81 %, 49, 129.53 W, 2782 MHz
2026/09/12 05:58:29.541, 13132 MiB, 16311 MiB, 96 %, 49, 133.35 W, 2782 MHz
2026/09/12 05:58:29.744, 13132 MiB, 16311 MiB, 97 %, 50, 132.32 W, 2782 MHz
2026/09/12 05:58:29.947, 13132 MiB, 16311 MiB, 82 %, 50, 130.25 W, 2782 MHz
2026/09/12 05:58:30.149, 13132 MiB, 16311 MiB, 97 %, 50, 130.93 W, 2775 MHz
2026/09/12 05:58:30.351, 13132 MiB, 16311 MiB, 97 %, 49, 134.09 W, 2775 MHz
2026/09/12 05:58:30.554, 13132 MiB, 16311 MiB, 85 %, 49, 130.68 W, 2775 MHz
2026/09/12 05:58:30.756, 13132 MiB, 16311 MiB, 94 %, 49, 132.33 W, 2775 MHz
2026/09/12 05:58:30.958, 13132 MiB, 16311 MiB, 97 %, 49, 134.37 W, 2775 MHz
2026/09/12 05:58:31.161, 13132 MiB, 16311 MiB, 97 %, 49, 130.75 W, 2782 MHz
2026/09/12 05:58:31.364, 13132 MiB, 16311 MiB, 81 %, 49, 131.06 W, 2782 MHz
2026/09/12 05:58:31.567, 13132 MiB, 16311 MiB, 97 %, 50, 133.95 W, 2782 MHz
2026/09/12 05:58:31.769, 13132 MiB, 16311 MiB, 97 %, 50, 131.46 W, 2782 MHz
2026/09/12 05:58:31.972, 13132 MiB, 16311 MiB, 81 %, 50, 130.31 W, 2782 MHz
2026/09/12 05:58:32.174, 13132 MiB, 16311 MiB, 97 %, 50, 131.01 W, 2775 MHz
2026/09/12 05:58:32.377, 13132 MiB, 16311 MiB, 97 %, 50, 134.37 W, 2775 MHz
2026/09/12 05:58:32.579, 13132 MiB, 16311 MiB, 63 %, 50, 126.31 W, 2775 MHz
2026/09/12 05:58:32.782, 13132 MiB, 16311 MiB, 91 %, 48, 126.23 W, 2767 MHz
2026/09/12 05:58:32.985, 13132 MiB, 16311 MiB, 97 %, 48, 129.58 W, 2767 MHz
2026/09/12 05:58:33.187, 13132 MiB, 16311 MiB, 97 %, 48, 125.75 W, 2775 MHz
2026/09/12 05:58:33.390, 13132 MiB, 16311 MiB, 81 %, 50, 126.40 W, 2775 MHz
2026/09/12 05:58:33.592, 13132 MiB, 16311 MiB, 97 %, 50, 134.23 W, 2775 MHz
2026/09/12 05:58:33.795, 13132 MiB, 16311 MiB, 97 %, 50, 134.35 W, 2782 MHz
2026/09/12 05:58:33.997, 13132 MiB, 16311 MiB, 83 %, 51, 131.14 W, 2782 MHz
2026/09/12 05:58:34.200, 13132 MiB, 16311 MiB, 97 %, 51, 131.80 W, 2775 MHz
2026/09/12 05:58:34.402, 13132 MiB, 16311 MiB, 97 %, 51, 134.78 W, 2775 MHz
2026/09/12 05:58:34.605, 13132 MiB, 16311 MiB, 87 %, 51, 131.27 W, 2775 MHz
2026/09/12 05:58:34.808, 13132 MiB, 16311 MiB, 91 %, 51, 131.81 W, 2767 MHz
2026/09/12 05:58:35.010, 13132 MiB, 16311 MiB, 97 %, 50, 134.77 W, 2767 MHz
2026/09/12 05:58:35.213, 13132 MiB, 16311 MiB, 97 %, 50, 132.32 W, 2775 MHz
2026/09/12 05:58:35.415, 13132 MiB, 16311 MiB, 82 %, 50, 131.82 W, 2775 MHz
2026/09/12 05:58:35.618, 13132 MiB, 16311 MiB, 97 %, 51, 134.12 W, 2775 MHz
2026/09/12 05:58:35.821, 13132 MiB, 16311 MiB, 97 %, 51, 133.39 W, 2775 MHz
2026/09/12 05:58:36.022, 13132 MiB, 16311 MiB, 81 %, 51, 131.87 W, 2775 MHz
2026/09/12 05:58:36.223, 13132 MiB, 16311 MiB, 97 %, 51, 134.40 W, 2767 MHz
2026/09/12 05:58:36.424, 13132 MiB, 16311 MiB, 85 %, 51, 131.80 W, 2767 MHz
2026/09/12 05:58:36.626, 13132 MiB, 16311 MiB, 93 %, 51, 131.21 W, 2767 MHz
2026/09/12 05:58:36.827, 13132 MiB, 16311 MiB, 97 %, 51, 134.63 W, 2767 MHz
2026/09/12 05:58:37.028, 13132 MiB, 16311 MiB, 97 %, 52, 135.05 W, 2775 MHz
2026/09/12 05:58:37.229, 13132 MiB, 16311 MiB, 82 %, 52, 131.99 W, 2775 MHz
2026/09/12 05:58:37.430, 13132 MiB, 16311 MiB, 97 %, 52, 134.53 W, 2775 MHz
2026/09/12 05:58:37.631, 13132 MiB, 16311 MiB, 97 %, 52, 132.40 W, 2775 MHz
2026/09/12 05:58:37.833, 13132 MiB, 16311 MiB, 82 %, 52, 131.38 W, 2775 MHz
2026/09/12 05:58:38.034, 13132 MiB, 16311 MiB, 97 %, 52, 132.07 W, 2767 MHz
2026/09/12 05:58:38.235, 13132 MiB, 16311 MiB, 84 %, 52, 132.08 W, 2767 MHz
2026/09/12 05:58:38.436, 13132 MiB, 16311 MiB, 94 %, 52, 131.57 W, 2767 MHz
2026/09/12 05:58:38.637, 13132 MiB, 16311 MiB, 97 %, 52, 135.07 W, 2767 MHz
2026/09/12 05:58:38.838, 13132 MiB, 16311 MiB, 93 %, 51, 134.79 W, 2767 MHz
2026/09/12 05:58:39.040, 13132 MiB, 16311 MiB, 83 %, 51, 131.21 W, 2775 MHz
2026/09/12 05:58:39.241, 13132 MiB, 16311 MiB, 96 %, 51, 134.58 W, 2775 MHz
2026/09/12 05:58:39.442, 13132 MiB, 16311 MiB, 97 %, 52, 134.91 W, 2775 MHz
2026/09/12 05:58:39.643, 13132 MiB, 16311 MiB, 97 %, 52, 134.96 W, 2775 MHz
2026/09/12 05:58:39.845, 13132 MiB, 16311 MiB, 97 %, 52, 138.48 W, 2775 MHz
2026/09/12 05:58:40.046, 13132 MiB, 16311 MiB, 97 %, 52, 135.36 W, 2775 MHz
2026/09/12 05:58:40.247, 13132 MiB, 16311 MiB, 74 %, 52, 133.80 W, 2767 MHz
2026/09/12 05:58:40.448, 13132 MiB, 16311 MiB, 97 %, 52, 133.96 W, 2767 MHz
2026/09/12 05:58:40.650, 13132 MiB, 16311 MiB, 97 %, 52, 133.88 W, 2767 MHz
2026/09/12 05:58:40.851, 13139 MiB, 16311 MiB, 96 %, 52, 133.73 W, 2775 MHz
2026/09/12 05:58:41.052, 13139 MiB, 16311 MiB, 97 %, 52, 138.58 W, 2775 MHz
2026/09/12 05:58:41.253, 13139 MiB, 16311 MiB, 85 %, 52, 135.43 W, 2775 MHz
2026/09/12 05:58:41.454, 13139 MiB, 16311 MiB, 94 %, 52, 135.39 W, 2775 MHz
2026/09/12 05:58:41.655, 13139 MiB, 16311 MiB, 97 %, 53, 135.64 W, 2775 MHz
2026/09/12 05:58:41.856, 13139 MiB, 16311 MiB, 96 %, 53, 135.89 W, 2775 MHz
2026/09/12 05:58:42.058, 13139 MiB, 16311 MiB, 97 %, 53, 135.94 W, 2775 MHz
2026/09/12 05:58:42.259, 13139 MiB, 16311 MiB, 97 %, 53, 139.04 W, 2775 MHz
2026/09/12 05:58:42.460, 13139 MiB, 16311 MiB, 81 %, 53, 135.77 W, 2775 MHz
2026/09/12 05:58:42.661, 13139 MiB, 16311 MiB, 97 %, 53, 135.42 W, 2767 MHz
2026/09/12 05:58:42.862, 13139 MiB, 16311 MiB, 97 %, 52, 135.80 W, 2767 MHz
2026/09/12 05:58:43.063, 13139 MiB, 16311 MiB, 96 %, 52, 135.79 W, 2775 MHz
2026/09/12 05:58:43.264, 13139 MiB, 16311 MiB, 97 %, 52, 135.41 W, 2775 MHz
2026/09/12 05:58:43.465, 13139 MiB, 16311 MiB, 97 %, 53, 138.30 W, 2775 MHz
